ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,Creation Actor Note,Creation Actor Role,museum,resource_model,ire.isaar.uuid,source_ire_type,au_code,g_code,Creation Actor Widget,Creation Actor Identifier,matched on,Start Date,Start Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
8d9bf9ae-6f31-5955-8d41-0d19de45d55c,tg:rubgr:4788,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:4788,record identifiers,https://data.rubenianum.be//ark:/86530/8d9bf9ae-6f31-5955-8d41-0d19de45d55c,object identifier,Brieven,,,,
8d9bf9ae-6f31-5955-8d41-0d19de45d55c,tg:rubgr:4788,e73_AssociatedArchives,2,kenmerken.rubobjnrgr,,,,,AFG_069,isad:rub:2999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d9bf9ae-6f31-5955-8d41-0d19de45d55c,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""33623fc5-1e1e-4092-9ef8-a0cc72565734"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5b6cab83-e7d9-4931-86d7-eff9a0510a2f"", ""inverseOntologyProperty"": """"}]"
8d9bf9ae-6f31-5955-8d41-0d19de45d55c,tg:rubgr:4788,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960.0,2075,In Copyright,
8d9bf9ae-6f31-5955-8d41-0d19de45d55c,tg:rubgr:4788,e73_Correspondence,1,,,,,,,,,,,,,,,,"Destombes, Marcel",recipients (people),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d9bf9ae-6f31-5955-8d41-0d19de45d55c,tg:rubgr:4788,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19600705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d9bf9ae-6f31-5955-8d41-0d19de45d55c,tg:rubgr:4788,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d9bf9ae-6f31-5955-8d41-0d19de45d55c,tg:rubgr:4788,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>[Briefhoofd City of Manchester Art Galleries] [Copy] Korte inhoud: M.b.t. analyse signatuur op niet nader genoemd schilderij [Sack of Rome]</p>
",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d9bf9ae-6f31-5955-8d41-0d19de45d55c,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000004788,referentienummer,False,,,,,,,,,,,,,,,,,,,,
8d9bf9ae-6f31-5955-8d41-0d19de45d55c,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>7041</priref>
			<recipient>Destombes, Marcel</recipient>
			<number>AFG_129_024</number>
			<date.precise>1960-07-05</date.precise>
			<content>[Briefhoofd City of Manchester Art Galleries] [Copy] Korte inhoud: M.b.t. analyse signatuur op niet nader genoemd schilderij [Sack of Rome]</content>
			<object.object_number>AFG_129</object.object_number>
			<object.object_number>AFG_069</object.object_number>
			<object.object_name>Dossier</object.object_name>
			<object.object_name>schilderij</object.object_name>
			<class>AFG</class>
			<editorial_form>brief</editorial_form>
			<object.title>Bruegel: Raphael &amp; Coecke</object.title>
			<object.title>The Sack of Rome</object.title>
			<sender>Grossmann, F.</sender>
			<object.creator/>
			<object.creator/>
			<input.date>2014-07-28</input.date>
			<edit.date>2014-07-28</edit.date>
			<input.name>Centrum</input.name>
			<edit.name>Centrum</edit.name>
			<edit.time>16:09:39</edit.time>
			<input.time>16:07:26</input.time>
			<input.source>archive</input.source>
			<edit.source>archive</edit.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,
